job,target,kd_nm,log10_kd_um,affinity_pred_ft
10000623_Ab1,"Abrin toxin, Abrus precatorius (A.precatorius)",76.0,-1.1191864013671875,-1.6892201900482178
10000624_Ab2,"Abrin toxin, Abrus precatorius (A.precatorius)",89.0,-1.0506099462509155,-1.7407983541488647
10000625_Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",50.0,-1.3010300397872925,-1.1777024269104004
10000626_Ab4,"Abrin toxin, Abrus precatorius (A.precatorius)",104.0,-0.9829666614532471,-1.7284327745437622
10000627_Ab5,"Abrin toxin, Abrus precatorius (A.precatorius)",81.0,-1.0915149450302124,-1.4086456298828125
10000628_Ab6,"Abrin toxin, Abrus precatorius (A.precatorius)",28.0,-1.5528419017791748,-1.4118831157684326
10000629_Ab7,"Abrin toxin, Abrus precatorius (A.precatorius)",67.0,-1.1739251613616943,-1.6711716651916504
10000630_Ab8,"Abrin toxin, Abrus precatorius (A.precatorius)",130.0,-0.886056661605835,-2.345005989074707
10000557_not_reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,4.7,-2.32790207862854,-1.427567720413208
10000558_not_reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,250.8,-0.6006724238395691,-1.5136559009552002
10000559_Apt-_83,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,0.006,-5.221848964691162,-1.5415114164352417
10000560_Apt-78,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,0.44,-3.3565473556518555,-1.424708366394043
10000561_Apt-77,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,2.1,-2.6777806282043457,-1.39985990524292
10000562_Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,2.4,-2.619788646697998,-1.6179711818695068
10000563_Apt-74,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,4.1,-2.387216091156006,-1.5063440799713135
10000564_Apt-58,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,10.8,-1.9665762186050415,-1.6144392490386963
10000008_5A,Basic fibroblast growth factor (bFGF),23.0,-1.6382721662521362,-2.12919545173645
10000009_7A,Basic fibroblast growth factor (bFGF),5.0,-2.301029920578003,-2.0119011402130127
10000010_13A,Basic fibroblast growth factor (bFGF),3.2,-2.494849920272827,-2.0319864749908447
10000011_14A,Basic fibroblast growth factor (bFGF),3.0,-2.522878646850586,-2.598496437072754
10000012_21A,Basic fibroblast growth factor (bFGF),8.1,-2.091515064239502,-2.469027519226074
10000013_12A,Basic fibroblast growth factor (bFGF),0.51,-3.2924299240112305,-1.5581927299499512
10000014_26At,Basic fibroblast growth factor (bFGF),0.19,-3.7212464809417725,-2.511962890625
10000015_26A,Basic fibroblast growth factor (bFGF),0.19,-3.7212464809417725,-2.1268882751464844
10000016_22B,Basic fibroblast growth factor (bFGF),0.13,-3.886056661605835,-1.677146077156067
10000017_28B,Basic fibroblast growth factor (bFGF),0.32,-3.494849920272827,-1.6429100036621094
10000118_C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.356232643127441
10000118_C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.356667518615723
10000119_C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.344110012054443
10000120_C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.700673580169678
10000121_C1,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.310250282287598
10000122_C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-5.414490222930908
