job,target,kd_nm,log10_kd_um,affinity_pred_ft
10000623_Ab1,"Abrin toxin, Abrus precatorius (A.precatorius)",76.0,-1.1191864013671875,-1.8404021263122559
10000624_Ab2,"Abrin toxin, Abrus precatorius (A.precatorius)",89.0,-1.0506099462509155,-2.1002421379089355
10000625_Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",50.0,-1.3010300397872925,-1.6734646558761597
10000626_Ab4,"Abrin toxin, Abrus precatorius (A.precatorius)",104.0,-0.9829666614532471,-1.8101873397827148
10000627_Ab5,"Abrin toxin, Abrus precatorius (A.precatorius)",81.0,-1.0915149450302124,-1.8793518543243408
10000628_Ab6,"Abrin toxin, Abrus precatorius (A.precatorius)",28.0,-1.5528419017791748,-1.7421104907989502
10000629_Ab7,"Abrin toxin, Abrus precatorius (A.precatorius)",67.0,-1.1739251613616943,-1.868158221244812
10000630_Ab8,"Abrin toxin, Abrus precatorius (A.precatorius)",130.0,-0.886056661605835,-2.457012176513672
10000557_not_reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,4.7,-2.32790207862854,-1.3510184288024902
10000558_not_reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,250.8,-0.6006724238395691,-1.42577064037323
10000559_Apt-_83,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,0.006,-5.221848964691162,-1.4520965814590454
10000560_Apt-78,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,0.44,-3.3565473556518555,-1.6795285940170288
10000561_Apt-77,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,2.1,-2.6777806282043457,-1.7412195205688477
10000562_Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,2.4,-2.619788646697998,-1.7513468265533447
10000563_Apt-74,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,4.1,-2.387216091156006,-1.8473690748214722
10000564_Apt-58,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,10.8,-1.9665762186050415,-1.6485185623168945
