job,target,kd_nm,log10_kd_um,affinity_pred_ft
10000623_Ab1,"Abrin toxin, Abrus precatorius (A.precatorius)",76.0,-1.1191864013671875,-1.7547529935836792
10000624_Ab2,"Abrin toxin, Abrus precatorius (A.precatorius)",89.0,-1.0506099462509155,-2.2343087196350098
10000625_Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",50.0,-1.3010300397872925,-1.700199842453003
10000626_Ab4,"Abrin toxin, Abrus precatorius (A.precatorius)",104.0,-0.9829666614532471,-1.7400379180908203
10000627_Ab5,"Abrin toxin, Abrus precatorius (A.precatorius)",81.0,-1.0915149450302124,-1.9453556537628174
10000628_Ab6,"Abrin toxin, Abrus precatorius (A.precatorius)",28.0,-1.5528419017791748,-1.7583521604537964
10000629_Ab7,"Abrin toxin, Abrus precatorius (A.precatorius)",67.0,-1.1739251613616943,-2.1821846961975098
10000630_Ab8,"Abrin toxin, Abrus precatorius (A.precatorius)",130.0,-0.886056661605835,-2.9038028717041016
10000557_not_reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,4.7,-2.32790207862854,-1.5985764265060425
10000558_not_reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,250.8,-0.6006724238395691,-1.5468652248382568
10000559_Apt-_83,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,0.006,-5.221848964691162,-2.064988374710083
10000560_Apt-78,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,0.44,-3.3565473556518555,-1.7882380485534668
10000561_Apt-77,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,2.1,-2.6777806282043457,-2.2995858192443848
10000562_Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,2.4,-2.619788646697998,-2.327636480331421
10000563_Apt-74,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,4.1,-2.387216091156006,-1.9776990413665771
10000564_Apt-58,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,10.8,-1.9665762186050415,-2.049647331237793
10000008_5A,Basic fibroblast growth factor (bFGF),23.0,-1.6382721662521362,-1.7985501289367676
10000009_7A,Basic fibroblast growth factor (bFGF),5.0,-2.301029920578003,-1.3963606357574463
10000010_13A,Basic fibroblast growth factor (bFGF),3.2,-2.494849920272827,-1.390296220779419
10000011_14A,Basic fibroblast growth factor (bFGF),3.0,-2.522878646850586,-1.1368227005004883
10000012_21A,Basic fibroblast growth factor (bFGF),8.1,-2.091515064239502,-1.498462438583374
10000013_12A,Basic fibroblast growth factor (bFGF),0.51,-3.2924299240112305,-1.3856064081192017
10000014_26At,Basic fibroblast growth factor (bFGF),0.19,-3.7212464809417725,-1.3373322486877441
10000015_26A,Basic fibroblast growth factor (bFGF),0.19,-3.7212464809417725,-1.4605461359024048
10000016_22B,Basic fibroblast growth factor (bFGF),0.13,-3.886056661605835,-1.9761962890625
10000017_28B,Basic fibroblast growth factor (bFGF),0.32,-3.494849920272827,-1.0504497289657593
10001079_C-ap11,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),7.376,-2.132179021835327,-2.2450575828552246
10001080_C-ap12,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),3.893,-2.4097156524658203,-2.3141133785247803
10001081_C-ap14,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),5.561,-2.2548470497131348,-2.941638469696045
10001082_C-ap15,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),5.234,-2.2811663150787354,-2.8658607006073
10001083_C-ap18,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),9.734,-2.0117087364196777,-3.0480031967163086
10000453_F1-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),2.0,-2.698970079421997,-1.9085781574249268
10000454_F2-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),14.0,-1.8538719415664673,-1.8105438947677612
10000455_F3-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),4.0,-2.397939920425415,-1.5877784490585327
10000456_F4-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),7.0,-2.1549019813537598,-1.8790299892425537
10000457_F4-2,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),294.0,-0.5316526889801025,-1.8042000532150269
10000458_F5-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),10.0,-2.0,-2.85428524017334
10000134_TQ30,"DNA polymerase (Taq pol), Thermus acquaticus",0.04,-4.397940158843994,-0.7752557992935181
10000170_Trnc.A-30,"DNA polymerase (Taq pol), Thermus acquaticus",0.6,-3.221848726272583,-1.4822092056274414
10000171_Trnc.2-30,"DNA polymerase (Taq pol), Thermus acquaticus",3.1,-2.508638381958008,-1.9618592262268066
10000172_Trnc-21,"DNA polymerase (Taq pol), Thermus acquaticus",0.009,-5.045757293701172,-1.3518764972686768
10000173_D.30-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",0.047,-4.327902317047119,-1.9592595100402832
10000174_D.21-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",0.01,-5.0,-1.844635009765625
10000981_AptER-1,Estrogen receptor alpha (ERα),16.0,-1.7958799600601196,-1.7418776750564575
10000982_AptER-2,Estrogen receptor alpha (ERα),21.0,-1.6777807474136353,-1.4324920177459717
10000983_AptER-3,Estrogen receptor alpha (ERα),30.0,-1.5228787660598755,-1.7017590999603271
10001141_ER_Apt1,Estrogen receptor alpha (ERα),11.5,-1.9393022060394287,-1.8146913051605225
10001027_PR10.1,HIV-1 aspartyl protease (PR),115.0,-0.9393021464347839,-1.0771409273147583
10001028_PR10.9,HIV-1 aspartyl protease (PR),93.0,-1.0315170288085938,-1.102978229522705
10001029_PR10.1-8E,HIV-1 aspartyl protease (PR),17.0,-1.7695510387420654,-0.8575209379196167
10001030_PR10.1-8A,HIV-1 aspartyl protease (PR),2.2,-2.6575772762298584,-0.9830675721168518
10001031_PR10.9-8N,HIV-1 aspartyl protease (PR),4.3,-2.3665316104888916,-1.2100012302398682
10000118_C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-2.3786115646362305
10000118_C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-2.3751442432403564
10000119_C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.314337968826294
10000120_C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-2.2874364852905273
10000121_C1,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.2124688625335693
10000122_C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.202862024307251
10000123_C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.697193145751953
10000124_C24,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.28410005569458
10000125_C33,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.288668155670166
10000126_C34,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.13746976852417
10000127_C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-3.256723642349243
10000128_C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),27.5,-1.5606672763824463,-2.892892837524414
10000131_D17.4,"Immunoglobulin E (IgE), Human",10.0,-2.0,-2.8147335052490234
10000498_4.4.2,"Immunoglobulin E (IgE), Human",30.0,-1.5228787660598755,-2.2059171199798584
10000506_4.4.10,"Immunoglobulin E (IgE), Human",33.0,-1.4814860820770264,-1.3871276378631592
10000508_4.4.12,"Immunoglobulin E (IgE), Human",23.0,-1.6382721662521362,-1.375059723854065
10000512_4.4.16,"Immunoglobulin E (IgE), Human",39.0,-1.4089354276657104,-1.3225224018096924
10000516_4.4.20,"Immunoglobulin E (IgE), Human",25.0,-1.6020599603652954,-1.7573091983795166
10000523_4.4.27,"Immunoglobulin E (IgE), Human",23.0,-1.6382721662521362,-1.5221669673919678
10000532_Clone_2.11,"Immunoglobulin E (IgE), Human",84.0,-1.0757206678390503,-2.398238182067871
10000533_Clone_2.15,"Immunoglobulin E (IgE), Human",44.0,-1.3565473556518555,-1.7484090328216553
10000534_Clone_2.22,"Immunoglobulin E (IgE), Human",37.0,-1.4317982196807861,-1.5649693012237549
