rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
1,10000013,12A,Basic fibroblast growth factor (bFGF),ssRNA,0.51,-1.7239974737167358,0.13929618895053864
2,10000123,C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.687972068786621,0.29256531596183777
3,10000017,28B,Basic fibroblast growth factor (bFGF),ssRNA,0.32,-1.6875861883163452,0.23003852367401123
4,10000119,C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.5127770900726318,0.18052123486995697
5,10000016,22B,Basic fibroblast growth factor (bFGF),ssRNA,0.13,-1.4976847171783447,0.17200659215450287
6,10000128,C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.4355266094207764,0.2562945485115051
7,10000010,13A,Basic fibroblast growth factor (bFGF),ssRNA,3.2,-1.409959316253662,0.22213225066661835
8,10000015,26A,Basic fibroblast growth factor (bFGF),ssRNA,0.19,-1.3461356163024902,0.20071351528167725
9,10000118,C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.3044756650924683,0.23961959779262543
10,10000118,C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2976000308990479,0.2396332025527954
11,10000120,C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2804168462753296,0.41058680415153503
12,10000121,C1,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2432475090026855,0.22571894526481628
13,10000122,C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.214597463607788,0.2288266122341156
14,10000011,14A,Basic fibroblast growth factor (bFGF),ssRNA,3.0,-1.2082850933074951,0.24830836057662964
15,10000561,Apt-77,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.1,-1.1047422885894775,0.11749928444623947
16,10000560,Apt-78,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.44,-1.1041021347045898,0.05450839549303055
17,10000154,60-18,"Thrombin, Human",ssDNA,0.92,-1.0924646854400635,0.3388672471046448
18,10000564,Apt-58,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,10.8,-1.0797051191329956,0.07168293744325638
19,10000557,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.7,-1.0735666751861572,0.09865196794271469
20,10000629,Ab7,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,67.0,-1.0493650436401367,0.21717175841331482
21,10000558,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,250.8,-1.0359129905700684,0.06012486666440964
22,10000623,Ab1,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,76.0,-1.0237557888031006,0.13902300596237183
23,10000630,Ab8,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,130.0,-1.0194536447525024,0.12757283449172974
24,10000562,Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.4,-0.9481264352798462,0.10146402567625046
25,10000533,Clone 2.15,"Immunoglobulin E (IgE), Human",ssDNA,44.0,-0.9072527885437012,0.11891891807317734
26,10000012,21A,Basic fibroblast growth factor (bFGF),ssRNA,8.1,-0.8943859934806824,0.1896510273218155
27,10000559,Apt- 83,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.006,-0.8715715408325195,0.13221484422683716
28,10000147,30-14,"Thrombin, Human",ssDNA,0.96,-0.8395184874534607,0.29674074053764343
29,10000506,4.4.10,"Immunoglobulin E (IgE), Human",ssDNA,33.0,-0.8202487826347351,0.10042598843574524
30,10000625,Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,50.0,-0.8101714849472046,0.14480610191822052
31,10000126,C34,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.7835397720336914,0.1837272197008133
32,10000628,Ab6,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,28.0,-0.7567070722579956,0.12574167549610138
33,10000535,Clone 4.6,"Immunoglobulin E (IgE), Human",ssDNA,27.0,-0.7121868133544922,0.11711456626653671
34,10000563,Apt-74,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.1,-0.7075822949409485,0.04513390734791756
35,10000009,7A,Basic fibroblast growth factor (bFGF),ssRNA,5.0,-0.6268787384033203,0.15785089135169983
36,10000534,Clone 2.22,"Immunoglobulin E (IgE), Human",ssDNA,37.0,-0.5960839986801147,0.09601523727178574
37,10000627,Ab5,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,81.0,-0.569876492023468,0.0943007618188858
38,10000624,Ab2,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,89.0,-0.5495131611824036,0.1319674551486969
39,10000008,5A,Basic fibroblast growth factor (bFGF),ssRNA,23.0,-0.5313156247138977,0.21845583617687225
40,10000083,84,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.82,-0.524613082408905,0.19101543724536896
41,10000626,Ab4,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,104.0,-0.5194990634918213,0.06056027114391327
42,10000125,C33,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.5020755529403687,0.20172229409217834
43,10000082,40,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.19,-0.3824608325958252,0.19507527351379395
44,10000124,C24,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.3211282193660736,0.23972399532794952
45,10000073,100,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.2,-0.2215619683265686,0.22224931418895721
46,10000508,4.4.12,"Immunoglobulin E (IgE), Human",ssDNA,23.0,-0.16069582104682922,0.08686096221208572
47,10000498,4.4.2,"Immunoglobulin E (IgE), Human",ssDNA,30.0,-0.10445517301559448,0.10788470506668091
48,10000536,Clone 4.10,"Immunoglobulin E (IgE), Human",ssDNA,73.0,-0.08248376846313477,0.19106554985046387
49,10000127,C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.04300332069396973,0.22372621297836304
50,10000512,4.4.16,"Immunoglobulin E (IgE), Human",ssDNA,39.0,0.02559340000152588,0.0815434604883194
51,10000523,4.4.27,"Immunoglobulin E (IgE), Human",ssDNA,23.0,0.18207255005836487,0.1992468535900116
52,10000516,4.4.20,"Immunoglobulin E (IgE), Human",ssDNA,25.0,0.21062034368515015,0.18655706942081451
53,10000537,Clone 4.15,"Immunoglobulin E (IgE), Human",ssDNA,33.0,0.24719774723052979,0.08018337935209274
54,10000080,44,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.7,0.2522403597831726,0.2171565443277359
55,10000146,30-8,"Thrombin, Human",ssDNA,0.4,0.39122164249420166,0.1686282902956009
56,10000081,12,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,0.5287984609603882,0.23859870433807373
57,10000532,Clone 2.11,"Immunoglobulin E (IgE), Human",ssDNA,84.0,0.6773390769958496,0.14630332589149475
58,10000153,30-38[27],"Thrombin, Human",ssDNA,42.0,0.7714716196060181,0.052865780889987946
59,10000155,60-18[38],"Thrombin, Human",ssDNA,0.5,1.2168376445770264,0.03314269334077835
60,10000131,D17.4,"Immunoglobulin E (IgE), Human",ssDNA,10.0,1.2471705675125122,0.1093197911977768
61,10000152,30-38[29],"Thrombin, Human",ssDNA,0.9,1.2590651512145996,0.022496309131383896
62,10000079,126t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.4,1.29166841506958,0.1832999289035797
63,10000014,26At,Basic fibroblast growth factor (bFGF),ssRNA,0.19,1.3066617250442505,0.13304200768470764
64,10000077,40t,Vascular Endothelial Growth Factor (VEGF),ssRNA,20.0,1.3613486289978027,0.14509372413158417
65,10000084,126,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.14,1.4676902294158936,0.22773975133895874
66,10000075,44t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.48,1.533492922782898,0.18789824843406677
67,10000078,84t,Vascular Endothelial Growth Factor (VEGF),ssRNA,1.8,1.5955500602722168,0.23745492100715637
68,10000074,100t,Vascular Endothelial Growth Factor (VEGF),ssRNA,0.42,1.6034005880355835,0.24447470903396606
