rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
1,10000676,4C3,Proteinase K-resistant isoform (PrPSc),ssDNA,48.0,-1.7461496591567993,0.33919763565063477
2,10000013,12A,Basic fibroblast growth factor (bFGF),ssRNA,0.51,-1.7239974737167358,0.13929618895053864
3,10000123,C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.687972068786621,0.29256531596183777
4,10000017,28B,Basic fibroblast growth factor (bFGF),ssRNA,0.32,-1.6875861883163452,0.23003852367401123
5,10000458,F5-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,10.0,-1.6330066919326782,0.7603458166122437
6,10000454,F2-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,14.0,-1.5940855741500854,0.24692665040493011
7,10001377,LDH9r-1,"Lactate dehydrogenase (LDH), Human",ssDNA,19.3,-1.5746303796768188,0.1683776080608368
8,10000682,4C20,Proteinase K-resistant isoform (PrPSc),ssDNA,79.0,-1.5624237060546875,0.3779430389404297
9,10000355,aptamer B.3,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,10.0,-1.5193848609924316,0.13910524547100067
10,10000119,C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.5127770900726318,0.18052123486995697
11,10000016,22B,Basic fibroblast growth factor (bFGF),ssRNA,0.13,-1.4976847171783447,0.17200659215450287
12,10001374,LDH7r-1,"Lactate dehydrogenase (LDH), Human",ssDNA,21.3,-1.4751207828521729,0.1137748509645462
13,10000354,aptamer B.2,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,1.5,-1.4638532400131226,0.1733570098876953
14,10000128,C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.4355266094207764,0.2562945485115051
15,10001387,C9,SARS-CoV-2 Spike glycoprotein,ssDNA,231.9,-1.4118772745132446,0.19782057404518127
16,10000010,13A,Basic fibroblast growth factor (bFGF),ssRNA,3.2,-1.409959316253662,0.22213225066661835
17,10000015,26A,Basic fibroblast growth factor (bFGF),ssRNA,0.19,-1.3461356163024902,0.20071351528167725
18,10000861,HA68,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,7.1,-1.3237720727920532,0.21035915613174438
19,10000118,C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.3044756650924683,0.23961959779262543
20,10000118,C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2976000308990479,0.2396332025527954
21,10000120,C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2804168462753296,0.41058680415153503
22,10000095,RT36,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,4.0,-1.261831283569336,0.2748550474643707
23,10000121,C1,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2432475090026855,0.22571894526481628
24,10001386,C7,SARS-CoV-2 Spike glycoprotein,ssDNA,89.41,-1.2356668710708618,0.27221551537513733
25,10001028,PR10.9,HIV-1 aspartyl protease (PR),ssRNA,93.0,-1.232136607170105,0.20603103935718536
26,10000122,C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.214597463607788,0.2288266122341156
