serial,aptamer_name,target,nucleic_type,kd_nm,ranking_score,ptm,iptm,has_cif,job_dir
10000628,Ab6,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,28,0.8373507570341765,0.88,0.82,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000628_Ab6
10000625,Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,50,0.8301906098908198,0.87,0.81,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000625_Ab3
10000629,Ab7,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,67,0.8265237620770156,0.87,0.8,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000629_Ab7
10000623,Ab1,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,76,0.8252828543024047,0.87,0.8,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000623_Ab1
10000627,Ab5,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,81,0.8066302438104587,0.86,0.78,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000627_Ab5
10000624,Ab2,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,89,0.8274400072373145,0.87,0.81,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000624_Ab2
10000626,Ab4,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,104,0.808533713077402,0.86,0.78,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000626_Ab4
10000630,Ab8,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,130,0.7940562928411666,0.85,0.77,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000630_Ab8
10000559,Apt- 83,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.006,0.3860346780180303,0.65,0.29,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000559_Apt-_83
10000560,Apt-78,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.44,0.38790227584979264,0.66,0.29,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000560_Apt-78
10000561,Apt-77,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.1,0.4068669311696985,0.69,0.3,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000561_Apt-77
10000562,Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.4,0.3504551648970811,0.66,0.23,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000562_Apt-106
10000563,Apt-74,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.1,0.43143186115330967,0.68,0.34,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000563_Apt-74
10000557,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.7,0.39793803211567585,0.67,0.28,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000557_not_reported
10000564,Apt-58,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,10.8,0.44980836852082373,0.67,0.36,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000564_Apt-58
10000558,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,250.8,0.4350943588956286,0.68,0.33,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000558_not_reported
10000016,22B,Basic fibroblast growth factor (bFGF),ssRNA,0.13,0.3313616042990123,0.59,0.22,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000016_22B
10000014,26At,Basic fibroblast growth factor (bFGF),ssRNA,0.19,0.47795326881907496,0.69,0.38,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000014_26At
10000015,26A,Basic fibroblast growth factor (bFGF),ssRNA,0.19,0.2168606184208573,0.56,0.08,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000015_26A
10000017,28B,Basic fibroblast growth factor (bFGF),ssRNA,0.32,0.22296213525969222,0.56,0.08,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000017_28B
10000013,12A,Basic fibroblast growth factor (bFGF),ssRNA,0.51,0.22176945747346627,0.55,0.11,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000013_12A
10000011,14A,Basic fibroblast growth factor (bFGF),ssRNA,3,0.3979241414114538,0.64,0.3,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000011_14A
10000010,13A,Basic fibroblast growth factor (bFGF),ssRNA,3.2,0.3859585676724446,0.63,0.28,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000010_13A
10000009,7A,Basic fibroblast growth factor (bFGF),ssRNA,5,0.2112255769279669,0.55,0.08,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000009_7A
10000012,21A,Basic fibroblast growth factor (bFGF),ssRNA,8.1,0.2670850207810574,0.58,0.16,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000012_21A
10000008,5A,Basic fibroblast growth factor (bFGF),ssRNA,23,0.2501939100390663,0.58,0.16,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000008_5A
10001080,C-ap12,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,3.893,0.3608456816538397,0.67,0.19,True,results/af3_msa_v2/10001080_C-ap12
10001082,C-ap15,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,5.234,0.3426111240878314,0.71,0.24,True,results/af3_msa_v2/10001082_C-ap15
10001081,C-ap14,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,5.561,0.4135634169914281,0.68,0.26,True,results/af3_msa_v2/10001081_C-ap14
10001079,C-ap11,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,7.376,0.42455452158453677,0.67,0.26,True,results/af3_msa_v2/10001079_C-ap11
10001083,C-ap18,C-terminal region Recombinant human connective tissue growth factor (rhCTGF),ssDNA,9.734,0.4308217018881233,0.7,0.29,True,results/af3_msa_v2/10001083_C-ap18
10000453,F1-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,2,0.19822070390838592,0.39,0.06,True,results/af3_msa_v2/10000453_F1-1
10000455,F3-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,4,0.24271881207290663,0.38,0.1,True,results/af3_msa_v2/10000455_F3-1
10000456,F4-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,7,0.22615584530801913,0.42,0.09,True,results/af3_msa_v2/10000456_F4-1
10000458,F5-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,10,0.21994726741689324,0.4,0.08,True,results/af3_msa_v2/10000458_F5-1
10000454,F2-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,14,0.21519195609606728,0.41,0.06,True,results/af3_msa_v2/10000454_F2-1
10000457,F4-2,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,294,0.19234508570357584,0.39,0.05,True,results/af3_msa_v2/10000457_F4-2
10000172,Trnc-21,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.009,0.3125463343990807,0.78,0.19,True,results/af3_msa_v2/10000172_Trnc-21
10000174,D.21-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.01,0.5373772518019404,0.77,0.48,True,results/af3_msa_v2/10000174_D.21-D.30
10000134,TQ30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.04,0.2430311144185353,0.75,0.11,True,results/af3_msa_v2/10000134_TQ30
10000173,D.30-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.047,0.5582317627594946,0.8,0.49,True,results/af3_msa_v2/10000173_D.30-D.30
10000170,Trnc.A-30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.6,0.26578986026839035,0.78,0.14,True,results/af3_msa_v2/10000170_Trnc.A-30
10000171,Trnc.2-30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,3.1,0.5375131613025659,0.8,0.47,True,results/af3_msa_v2/10000171_Trnc.2-30
10001141,ER_Apt1,Estrogen receptor alpha (ERα),ssDNA,11.5,0.41211521674700896,0.45,0.13,True,results/af3_msa_v2/10001141_ER_Apt1
10000981,AptER-1,Estrogen receptor alpha (ERα),ssRNA,16,0.6525672366583704,0.45,0.41,True,results/af3_msa_v2/10000981_AptER-1
10000982,AptER-2,Estrogen receptor alpha (ERα),ssRNA,21,0.4669566463831055,0.44,0.19,True,results/af3_msa_v2/10000982_AptER-2
10000983,AptER-3,Estrogen receptor alpha (ERα),ssRNA,30,0.5537578061182894,0.43,0.31,True,results/af3_msa_v2/10000983_AptER-3
10001030,PR10.1-8A,HIV-1 aspartyl protease (PR),ssRNA,2.2,0.19300850919767776,0.47,0.07,True,results/af3_msa_v2/10001030_PR10.1-8A
10001031,PR10.9-8N,HIV-1 aspartyl protease (PR),ssRNA,4.3,0.17563844399204326,0.47,0.04,True,results/af3_msa_v2/10001031_PR10.9-8N
10001029,PR10.1-8E,HIV-1 aspartyl protease (PR),ssRNA,17,0.18617189398022094,0.47,0.06,True,results/af3_msa_v2/10001029_PR10.1-8E
10001028,PR10.9,HIV-1 aspartyl protease (PR),ssRNA,93,0.17752905303708627,0.47,0.05,True,results/af3_msa_v2/10001028_PR10.9
10001027,PR10.1,HIV-1 aspartyl protease (PR),ssRNA,115,0.1636186419686259,0.47,0.04,True,results/af3_msa_v2/10001027_PR10.1
10000118,C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.5983986878214893,0.38,0.33,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000118_C8
10000118,C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6745655817327698,0.45,0.42,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000118_C18
10000119,C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6380500688010816,0.45,0.4,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000119_C17
10000120,C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.5924953471178842,0.39,0.29,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000120_C5
