rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
1,10000124,C24,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.763001561164856,0.7624796628952026
2,10000127,C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.6914098262786865,0.2938559353351593
3,10000013,12A,Basic fibroblast growth factor (bFGF),ssRNA,0.51,-1.5506560802459717,0.3856140971183777
4,10000011,14A,Basic fibroblast growth factor (bFGF),ssRNA,3.0,-1.5232315063476562,0.4556821584701538
5,10000123,C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.4218692779541016,0.7936728596687317
6,10000625,Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,50.0,-1.3152830600738525,0.3085475265979767
7,10000120,C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.3123102188110352,0.27390366792678833
8,10000118,C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.3029086589813232,0.2561679780483246
9,10000118,C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.302160382270813,0.25618597865104675
10,10000154,60-18,"Thrombin, Human",ssDNA,0.92,-1.1868401765823364,0.5404926538467407
11,10000125,C33,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.1715600490570068,0.213841512799263
12,10000016,22B,Basic fibroblast growth factor (bFGF),ssRNA,0.13,-1.156421184539795,0.1827317774295807
13,10000623,Ab1,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,76.0,-1.1146349906921387,0.2530081272125244
14,10000147,30-14,"Thrombin, Human",ssDNA,0.96,-1.1137030124664307,0.38269126415252686
15,10000119,C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.09030020236969,0.225882425904274
16,10000128,C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.0669537782669067,0.2518296539783478
17,10000015,26A,Basic fibroblast growth factor (bFGF),ssRNA,0.19,-1.0369232892990112,0.2530951499938965
18,10000535,Clone 4.6,"Immunoglobulin E (IgE), Human",ssDNA,27.0,-1.0278844833374023,0.33315831422805786
19,10000523,4.4.27,"Immunoglobulin E (IgE), Human",ssDNA,23.0,-1.0040861368179321,0.13500110805034637
20,10000122,C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-0.9785643815994263,0.25579532980918884
21,10000532,Clone 2.11,"Immunoglobulin E (IgE), Human",ssDNA,84.0,-0.8976836204528809,0.39059558510780334
22,10000012,21A,Basic fibroblast growth factor (bFGF),ssRNA,8.1,-0.8906664848327637,0.28349146246910095
23,10000017,28B,Basic fibroblast growth factor (bFGF),ssRNA,0.32,-0.7882364988327026,0.21883651614189148
24,10000008,5A,Basic fibroblast growth factor (bFGF),ssRNA,23.0,-0.7688720226287842,0.25989753007888794
