rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
1,10000123,C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.675851583480835,0.2914050221443176
2,10000013,12A,Basic fibroblast growth factor (bFGF),ssRNA,0.51,-1.6262226104736328,0.1465192586183548
3,10000016,22B,Basic fibroblast growth factor (bFGF),ssRNA,0.13,-1.6246578693389893,0.14498330652713776
4,10000119,C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.5052618980407715,0.17834235727787018
5,10000128,C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.4408835172653198,0.25883224606513977
6,10000011,14A,Basic fibroblast growth factor (bFGF),ssRNA,3.0,-1.4150662422180176,0.26245856285095215
7,10000506,4.4.10,"Immunoglobulin E (IgE), Human",ssDNA,33.0,-1.385599970817566,0.10371208190917969
8,10000118,C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.3181639909744263,0.23847949504852295
9,10000118,C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.31044340133667,0.23682798445224762
10,10000625,Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,50.0,-1.3012869358062744,0.1931648552417755
11,10000120,C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2792870998382568,0.40761131048202515
12,10000558,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,250.8,-1.2681691646575928,0.11842124164104462
13,10000012,21A,Basic fibroblast growth factor (bFGF),ssRNA,8.1,-1.244815468788147,0.17416049540042877
14,10000121,C1,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2177067995071411,0.2252310961484909
15,10000122,C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.199615478515625,0.22860457003116608
16,10000017,28B,Basic fibroblast growth factor (bFGF),ssRNA,0.32,-1.197920799255371,0.22339081764221191
17,10000560,Apt-78,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.44,-1.0876237154006958,0.09978559613227844
18,10000562,Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.4,-1.0729377269744873,0.1116684302687645
19,10000154,60-18,"Thrombin, Human",ssDNA,0.92,-1.0275495052337646,0.25099048018455505
20,10000564,Apt-58,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,10.8,-0.9774676561355591,0.16949591040611267
