rank,serial,aptamer_name,target,nucleic_type,kd_nm,affinity_pred_value,affinity_probability_binary
1,10000676,4C3,Proteinase K-resistant isoform (PrPSc),ssDNA,48.0,-1.6778525114059448,0.3331652581691742
2,10000123,C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.675851583480835,0.2914050221443176
3,10000458,F5-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,10.0,-1.6553905010223389,0.7606135606765747
4,10000013,12A,Basic fibroblast growth factor (bFGF),ssRNA,0.51,-1.6262226104736328,0.1465192586183548
5,10000016,22B,Basic fibroblast growth factor (bFGF),ssRNA,0.13,-1.6246578693389893,0.14498330652713776
6,10000454,F2-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,14.0,-1.6115450859069824,0.24839922785758972
7,10001375,LDH7r-9,"Lactate dehydrogenase (LDH), Human",ssDNA,12.0,-1.544337511062622,0.12489580363035202
8,10000680,4C10,Proteinase K-resistant isoform (PrPSc),ssDNA,33.0,-1.5352842807769775,0.322115033864975
9,10000119,C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.5052618980407715,0.17834235727787018
10,10000679,4C8,Proteinase K-resistant isoform (PrPSc),ssDNA,56.0,-1.5023550987243652,0.31385689973831177
11,10000354,aptamer B.2,"Nonstructural 5B (NS5B) polymerase, hepatitis C virus (HCV) NS5BΔC55 protein",ssRNA,1.5,-1.4713480472564697,0.17459943890571594
12,10000128,C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.4408835172653198,0.25883224606513977
13,10000134,TQ30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.04,-1.4233455657958984,0.1897224336862564
14,10000011,14A,Basic fibroblast growth factor (bFGF),ssRNA,3.0,-1.4150662422180176,0.26245856285095215
15,10000677,4C5,Proteinase K-resistant isoform (PrPSc),ssDNA,30.0,-1.406468152999878,0.34595951437950134
16,10000506,4.4.10,"Immunoglobulin E (IgE), Human",ssDNA,33.0,-1.385599970817566,0.10371208190917969
17,10000094,RT26,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,1.0,-1.347592830657959,0.10915643721818924
18,10000118,C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.3181639909744263,0.23847949504852295
19,10000118,C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.31044340133667,0.23682798445224762
20,10000625,Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,50.0,-1.3012869358062744,0.1931648552417755
21,10000683,4C26,Proteinase K-resistant isoform (PrPSc),ssDNA,18.0,-1.2983646392822266,0.28334376215934753
22,10000120,C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2792870998382568,0.40761131048202515
23,10000558,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,250.8,-1.2681691646575928,0.11842124164104462
24,10000174,D.21-D.30,"DNA polymerase (Taq pol), Thermus acquaticus",ssDNA,0.01,-1.2541402578353882,0.305164098739624
25,10000012,21A,Basic fibroblast growth factor (bFGF),ssRNA,8.1,-1.244815468788147,0.17416049540042877
26,10000861,HA68,Recombinant HA protein from swine IAV H3 cluster IV,ssDNA,7.1,-1.2437429428100586,0.2942311465740204
27,10001028,PR10.9,HIV-1 aspartyl protease (PR),ssRNA,93.0,-1.2177656888961792,0.20742785930633545
28,10000121,C1,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.2177067995071411,0.2252310961484909
29,10000122,C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,-1.199615478515625,0.22860457003116608
30,10000017,28B,Basic fibroblast growth factor (bFGF),ssRNA,0.32,-1.197920799255371,0.22339081764221191
31,10000983,AptER-3,Estrogen receptor alpha (ERα),ssRNA,30.0,-1.1754693984985352,0.24738121032714844
32,10001029,PR10.1-8E,HIV-1 aspartyl protease (PR),ssRNA,17.0,-1.1531392335891724,0.22854644060134888
33,10001030,PR10.1-8A,HIV-1 aspartyl protease (PR),ssRNA,2.2,-1.144408106803894,0.23149001598358154
34,10000455,F3-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,4.0,-1.1379430294036865,0.24741291999816895
35,10001031,PR10.9-8N,HIV-1 aspartyl protease (PR),ssRNA,4.3,-1.1138412952423096,0.19127672910690308
36,10000560,Apt-78,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.44,-1.0876237154006958,0.09978559613227844
37,10000562,Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.4,-1.0729377269744873,0.1116684302687645
38,10000453,F1-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,2.0,-1.0644543170928955,0.2090076208114624
39,10000095,RT36,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,4.0,-1.0629050731658936,0.15768536925315857
40,10000584,F52,RNA-dependent RNA polymerase (3Dpol),ssRNA,625.0,-1.0476653575897217,0.2018798589706421
41,10000154,60-18,"Thrombin, Human",ssDNA,0.92,-1.0275495052337646,0.25099048018455505
42,10000583,F47,RNA-dependent RNA polymerase (3Dpol),ssRNA,375.0,-1.0231367349624634,0.2289854884147644
43,10000866,Lep2,"Leptin protein, Human",ssDNA,410.0,-1.0204616785049438,0.17679663002490997
44,10000091,RT8,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,5.0,-1.0166010856628418,0.17739291489124298
45,10000456,F4-1,C-terminal ribonuclease domain of colicin E3 (CRD of colicin E3),ssRNA,7.0,-1.000951886177063,0.18429520726203918
46,10000564,Apt-58,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,10.8,-0.9774676561355591,0.16949591040611267
47,10000089,RT4,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,8.0,-0.9753254652023315,0.15905316174030304
48,10000092,RT10,Reverse Transcriptase of Type 1 Human Immunodeficiency Virus (HIV-1 RT),ssDNA,11.0,-0.9643127918243408,0.17669245600700378
49,10000563,Apt-74,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.1,-0.946135938167572,0.10574337095022202
50,10001374,LDH7r-1,"Lactate dehydrogenase (LDH), Human",ssDNA,21.3,-0.940705418586731,0.18626494705677032
