serial,aptamer_name,target,nucleic_type,kd_nm,ranking_score,ptm,iptm,has_cif,job_dir
10000628,Ab6,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,28,0.8373507570341765,0.88,0.82,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000628_Ab6
10000625,Ab3,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,50,0.8301906098908198,0.87,0.81,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000625_Ab3
10000629,Ab7,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,67,0.8265237620770156,0.87,0.8,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000629_Ab7
10000623,Ab1,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,76,0.8252828543024047,0.87,0.8,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000623_Ab1
10000627,Ab5,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,81,0.8066302438104587,0.86,0.78,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000627_Ab5
10000624,Ab2,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,89,0.8274400072373145,0.87,0.81,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000624_Ab2
10000626,Ab4,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,104,0.808533713077402,0.86,0.78,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000626_Ab4
10000630,Ab8,"Abrin toxin, Abrus precatorius (A.precatorius)",ssDNA,130,0.7940562928411666,0.85,0.77,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000630_Ab8
10000559,Apt- 83,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.006,0.3860346780180303,0.65,0.29,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000559_Apt-_83
10000560,Apt-78,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,0.44,0.38790227584979264,0.66,0.29,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000560_Apt-78
10000561,Apt-77,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.1,0.4068669311696985,0.69,0.3,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000561_Apt-77
10000562,Apt-106,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,2.4,0.3504551648970811,0.66,0.23,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000562_Apt-106
10000563,Apt-74,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.1,0.43143186115330967,0.68,0.34,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000563_Apt-74
10000557,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,4.7,0.39793803211567585,0.67,0.28,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000557_not_reported
10000564,Apt-58,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,10.8,0.44980836852082373,0.67,0.36,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000564_Apt-58
10000558,not reported,Autonomously replicating sequence‐binding factor 1 (ABF1) protein,ssDNA,250.8,0.4350943588956286,0.68,0.33,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000558_not_reported
10000016,22B,Basic fibroblast growth factor (bFGF),ssRNA,0.13,0.3313616042990123,0.59,0.22,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000016_22B
10000014,26At,Basic fibroblast growth factor (bFGF),ssRNA,0.19,0.47795326881907496,0.69,0.38,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000014_26At
10000015,26A,Basic fibroblast growth factor (bFGF),ssRNA,0.19,0.2168606184208573,0.56,0.08,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000015_26A
10000017,28B,Basic fibroblast growth factor (bFGF),ssRNA,0.32,0.22296213525969222,0.56,0.08,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000017_28B
10000013,12A,Basic fibroblast growth factor (bFGF),ssRNA,0.51,0.22176945747346627,0.55,0.11,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000013_12A
10000011,14A,Basic fibroblast growth factor (bFGF),ssRNA,3,0.3979241414114538,0.64,0.3,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000011_14A
10000010,13A,Basic fibroblast growth factor (bFGF),ssRNA,3.2,0.3859585676724446,0.63,0.28,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000010_13A
10000009,7A,Basic fibroblast growth factor (bFGF),ssRNA,5,0.2112255769279669,0.55,0.08,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000009_7A
10000012,21A,Basic fibroblast growth factor (bFGF),ssRNA,8.1,0.2670850207810574,0.58,0.16,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000012_21A
10000008,5A,Basic fibroblast growth factor (bFGF),ssRNA,23,0.2501939100390663,0.58,0.16,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000008_5A
10000118,C8,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.5983986878214893,0.38,0.33,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000118_C8
10000118,C18,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6745655817327698,0.45,0.42,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000118_C18
10000119,C17,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6380500688010816,0.45,0.4,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000119_C17
10000120,C5,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.5924953471178842,0.39,0.29,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000120_C5
10000121,C1,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.47163879670331643,0.33,0.21,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000121_C1
10000122,C9,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.7507284070187505,0.49,0.49,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000122_C9
10000123,C15,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.4621463987364674,0.32,0.17,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000123_C15
10000124,C24,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.5080988987561014,0.37,0.25,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000124_C24
10000125,C33,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6717975525098048,0.45,0.41,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000125_C33
10000126,C34,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6133319500857293,0.39,0.34,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000126_C34
10000127,C37,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.48949206587064525,0.33,0.18,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000127_C37
10000128,C52,Human immunodeficiency virus type 1 Rev (HIV-1 Rev),ssRNA,27.5,0.6225906517595542,0.42,0.34,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000128_C52
10000131,D17.4,"Immunoglobulin E (IgE), Human",ssDNA,10,0.2482390793399945,0.52,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000131_D17.4
10000508,4.4.12,"Immunoglobulin E (IgE), Human",ssDNA,23,0.24076736294395978,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000508_4.4.12
10000523,4.4.27,"Immunoglobulin E (IgE), Human",ssDNA,23,0.23919241489346582,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000523_4.4.27
10000516,4.4.20,"Immunoglobulin E (IgE), Human",ssDNA,25,0.23929242816094898,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000516_4.4.20
10000535,Clone 4.6,"Immunoglobulin E (IgE), Human",ssDNA,27,0.24004649392284863,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000535_Clone_4.6
10000498,4.4.2,"Immunoglobulin E (IgE), Human",ssDNA,30,0.2395288681139675,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000498_4.4.2
10000506,4.4.10,"Immunoglobulin E (IgE), Human",ssDNA,33,0.24023277811287963,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000506_4.4.10
10000537,Clone 4.15,"Immunoglobulin E (IgE), Human",ssDNA,33,0.24031464822575885,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000537_Clone_4.15
10000534,Clone 2.22,"Immunoglobulin E (IgE), Human",ssDNA,37,0.24045253222212282,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000534_Clone_2.22
10000512,4.4.16,"Immunoglobulin E (IgE), Human",ssDNA,39,0.24037491278855366,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000512_4.4.16
10000533,Clone 2.15,"Immunoglobulin E (IgE), Human",ssDNA,44,0.24038868093749088,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000533_Clone_2.15
10000536,Clone 4.10,"Immunoglobulin E (IgE), Human",ssDNA,73,0.23911730870330639,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000536_Clone_4.10
10000532,Clone 2.11,"Immunoglobulin E (IgE), Human",ssDNA,84,0.23911546842491538,0.49,0.06,True,/projects/bentosprg6/gavirial/bento-lab-aptamer-case-study/results/af3_msa/10000532_Clone_2.11
